DateTime,Bank1.B1,Bank1.B2,Bank1.B3,Bank1.B4,Bank1.B5,Bank1.B6,Bank1.B7,Bank1.B8,Bank1.B9,Bank1.B10,Bank1.B11,Bank1.B12,Bank1.B13,Bank1.B14,Bank1.B15,Bank1.B16,Bank1.B17,Bank1.B18,Bank1.B19,Temperature,Current
2024-07-14 15:13:40,7.621,7.197,6.178,6.671,7.487,6.672,7.015,6.388,6.971,6.637,6.474,7.34,7.586,6.584,6.467,6.558,6.315,6.552,6.972,36.9,7.21
2024-07-14 15:13:45,6.941,6.109,6.434,7.652,6.073,6.656,7.672,6.355,7.753,6.942,7.08,6.446,7.403,7.339,7.127,7.156,7.225,7.351,7.596,38.0,6.62
2024-07-14 15:13:50,7.667,6.085,6.703,6.401,6.462,6.607,6.353,6.797,6.411,7.977,7.471,7.588,7.898,7.223,7.652,6.909,7.873,7.51,6.904,37.8,7.84
2024-07-14 15:13:55,7.084,7.793,6.813,7.724,6.573,6.586,6.561,6.26,6.507,6.781,6.878,6.486,6.836,6.635,7.763,7.351,7.104,7.895,6.153,38.4,9.99
2024-07-14 15:14:00,6.112,6.377,6.932,6.57,6.874,6.264,7.037,7.247,7.976,6.034,7.389,7.746,7.304,6.454,7.191,7.032,7.613,6.002,7.458,37.2,8.9
2024-07-14 15:14:05,6.631,6.826,7.181,7.605,6.283,6.812,6.763,6.939,6.894,6.726,7.87,6.793,6.009,7.525,7.992,7.49,7.775,7.254,7.21,38.0,8.18
2024-07-14 15:14:10,7.302,7.977,6.482,6.087,7.005,7.72,6.036,6.529,7.096,7.724,7.603,6.836,7.001,7.07,7.42,6.067,7.323,7.877,7.218,39.9,9.89
2024-07-14 15:14:15,7.28,7.723,6.016,6.479,7.188,6.451,7.765,7.205,6.986,6.264,6.707,7.705,6.695,7.324,7.234,6.01,7.588,7.765,6.872,36.4,9.18
2024-07-14 15:14:20,6.841,6.574,6.888,7.755,7.364,6.614,7.182,7.228,6.709,7.9,6.664,6.583,6.765,6.396,6.967,7.461,7.751,6.315,8.0,36.3,9.2
2024-07-14 15:14:25,7.768,6.135,7.24,7.761,7.861,7.735,7.482,6.763,7.893,7.922,6.565,7.94,6.859,6.017,7.261,6.431,6.655,7.179,6.036,36.5,7.73
2024-07-14 15:14:30,6.835,6.91,7.239,7.554,6.164,6.382,6.832,6.371,7.792,6.807,6.71,6.357,7.14,6.425,7.886,7.22,6.961,6.838,6.366,35.4,5.24
2024-07-14 15:14:35,6.692,7.222,7.439,7.314,7.9,7.114,7.994,7.091,7.161,6.539,6.371,6.807,7.754,6.627,6.45,7.974,6.576,7.146,6.902,35.6,8.56
2024-07-14 15:14:40,6.815,6.98,7.354,6.752,7.447,7.461,6.364,6.525,7.926,7.49,7.134,6.939,6.959,7.793,7.783,7.59,7.299,7.308,7.608,35.7,8.52
2024-07-14 15:14:45,7.78,6.711,7.689,6.929,7.849,6.737,7.634,6.196,7.745,7.772,7.658,7.571,6.228,6.34,7.273,6.761,7.449,7.567,6.281,38.8,5.22
2024-07-14 15:14:50,6.193,6.712,6.379,6.076,7.331,6.648,6.531,6.544,7.709,6.574,6.378,6.928,6.633,6.243,6.973,6.097,6.865,6.686,7.344,36.4,6.32
2024-07-14 15:14:56,6.888,7.18,6.052,7.852,7.5,7.952,7.647,6.855,7.915,6.483,6.091,7.409,6.155,7.242,6.822,7.732,6.802,6.525,6.827,36.8,5.27
2024-07-14 15:15:01,7.812,7.005,6.166,6.835,6.643,6.648,6.753,7.294,6.365,6.243,6.204,6.193,6.762,7.892,6.218,7.258,7.923,7.831,6.291,38.7,6.59
2024-07-14 15:15:06,6.106,7.54,6.38,6.872,7.489,7.05,6.885,6.247,6.074,6.434,7.578,7.396,6.631,6.331,6.842,7.385,6.326,6.621,7.496,35.6,9.08
2024-07-14 15:15:11,6.443,6.396,6.8,6.062,6.444,7.307,6.081,6.359,7.884,6.389,6.972,7.887,6.073,6.46,6.681,6.123,6.042,7.083,7.554,35.2,6.68
2024-07-14 15:15:16,7.114,6.378,7.636,7.689,6.971,6.29,6.021,6.747,6.102,7.27,7.207,7.966,7.977,7.04,7.033,6.485,7.758,6.081,6.461,36.6,8.34
2024-07-14 15:15:21,6.232,7.267,7.839,7.039,7.741,7.49,6.125,6.37,7.977,6.006,7.799,6.015,7.398,6.941,7.672,7.933,7.411,7.795,7.584,38.8,9.13
2024-07-14 15:15:26,6.663,7.965,7.527,7.868,7.157,6.23,7.514,6.567,7.012,7.733,7.991,7.978,7.421,6.288,7.053,6.137,7.717,6.701,6.927,36.1,8.48
2024-07-14 15:15:31,7.917,7.649,6.724,6.491,6.139,7.502,6.004,7.843,7.124,6.938,6.969,6.075,7.468,6.012,7.473,7.987,6.016,7.243,6.547,36.9,7.1
2024-07-14 15:15:36,6.413,6.034,7.786,6.816,6.138,6.189,7.767,6.701,7.165,7.844,7.322,6.015,7.953,6.801,6.358,7.063,6.599,7.5,6.584,38.8,5.91
2024-07-14 15:15:41,6.271,6.946,6.428,7.757,7.312,7.911,6.043,6.428,6.031,7.545,6.697,7.492,6.29,6.154,7.488,7.268,7.793,7.923,6.222,37.2,5.04
2024-07-14 15:15:46,7.167,6.521,6.204,6.069,7.454,7.131,7.197,7.798,7.922,6.763,6.6,6.15,7.622,7.266,6.767,6.235,6.112,7.146,6.899,35.5,8.17
2024-07-14 15:15:51,6.91,6.216,7.925,7.269,6.147,6.368,7.097,6.199,6.7,7.857,7.88,6.859,6.099,7.964,6.841,7.256,7.684,6.632,7.568,39.1,7.24
2024-07-14 15:15:56,7.013,6.932,7.743,7.819,6.573,7.288,6.203,6.357,6.16,6.865,6.971,7.622,7.823,6.923,7.75,7.069,6.065,6.986,6.694,35.4,6.19
2024-07-14 15:16:01,7.938,7.117,6.252,6.275,6.222,7.796,6.547,7.106,6.63,6.375,7.389,6.051,7.01,7.829,7.045,7.306,7.675,7.769,7.518,36.1,7.86
2024-07-14 15:16:06,7.402,6.744,6.005,6.878,7.411,6.359,6.88,7.714,7.616,7.001,7.469,6.513,7.895,7.119,7.395,7.565,7.301,6.32,6.676,35.3,9.62
2024-07-14 15:16:11,6.528,7.509,6.561,7.638,7.139,7.023,7.03,6.676,7.05,6.998,7.504,7.303,6.131,7.1,7.493,6.968,7.483,6.122,7.692,39.4,8.11
2024-07-14 15:16:16,6.644,7.469,6.826,6.935,6.205,6.098,6.576,7.777,6.863,7.663,7.718,6.402,7.313,7.594,7.835,7.609,6.62,7.064,7.697,36.4,8.36
2024-07-14 15:16:21,7.515,7.84,7.798,7.013,6.446,7.677,6.988,6.172,6.246,6.885,7.033,6.77,6.526,6.977,6.963,7.215,7.967,7.377,6.166,38.7,7.67
2024-07-14 15:16:26,6.756,7.277,7.93,6.652,6.951,6.857,7.321,7.282,7.582,7.819,6.839,7.518,7.575,6.267,6.865,6.23,7.08,7.726,7.953,35.1,5.9
2024-07-14 15:16:31,6.431,6.097,6.188,7.959,7.897,6.955,6.767,6.551,7.452,7.699,6.988,6.397,7.352,6.261,6.572,6.262,7.754,6.31,7.665,36.5,9.76
2024-07-14 15:16:36,6.507,7.726,6.693,7.972,7.567,6.157,7.815,7.697,7.748,7.173,7.88,6.631,6.812,6.009,7.553,7.962,7.553,6.722,7.454,38.6,6.74
2024-07-14 15:16:41,6.51,7.124,6.048,7.971,6.248,7.261,6.213,7.134,6.594,7.095,6.788,6.541,6.593,7.345,6.092,6.712,6.491,7.728,7.578,39.3,7.37
2024-07-14 15:16:46,6.639,7.494,6.285,6.015,7.87,7.153,6.982,6.622,6.924,7.262,6.208,7.782,6.141,6.061,6.116,6.886,6.649,7.997,6.815,38.0,7.15
2024-07-14 15:16:51,6.02,6.206,6.617,6.115,7.437,6.692,7.368,7.427,6.787,7.38,6.666,7.056,7.371,6.481,6.851,6.124,6.462,6.718,6.491,39.8,8.57
2024-07-14 15:16:56,7.045,6.264,7.223,6.369,6.156,6.119,6.488,6.852,6.476,7.641,7.662,7.72,6.989,7.983,7.882,7.999,7.744,6.579,6.565,38.5,6.88
2024-07-14 15:17:01,6.483,6.422,6.256,6.446,7.512,6.207,6.263,7.324,6.713,7.242,7.579,7.197,7.614,7.262,6.555,6.676,7.69,6.787,6.811,39.9,8.34
2024-07-14 15:17:06,7.24,6.027,7.403,6.578,7.101,7.778,6.654,7.838,7.258,7.247,6.349,7.783,7.541,6.171,6.153,6.656,6.613,6.133,6.303,36.3,8.98
2024-07-14 15:17:11,6.642,7.518,7.823,7.176,6.365,6.986,6.15,7.703,7.123,6.806,7.303,7.078,7.88,6.385,7.142,6.802,6.393,7.149,7.76,36.5,5.61
2024-07-14 15:17:16,6.022,7.46,7.878,7.872,7.206,6.445,6.773,6.672,7.951,7.346,7.39,7.75,7.537,6.29,6.058,6.57,7.554,6.368,6.599,36.8,5.3
2024-07-14 15:17:21,7.983,7.864,6.844,7.254,6.266,7.01,6.782,7.879,7.427,7.53,6.687,7.2,6.723,6.142,7.049,6.501,7.457,6.127,6.173,38.2,8.74
2024-07-14 15:17:26,6.381,6.907,7.703,6.95,7.072,7.535,7.837,7.996,7.65,6.169,6.592,7.6,6.798,7.249,7.403,6.787,7.741,6.761,7.645,38.0,7.69
2024-07-14 15:17:31,7.131,7.755,7.562,6.618,6.504,6.817,6.522,7.209,6.393,6.298,7.372,6.506,6.434,6.74,7.51,7.016,6.272,7.977,7.366,38.2,8.94
2024-07-14 15:17:36,7.048,7.905,6.996,7.7,7.668,7.92,7.024,6.643,6.898,7.781,6.357,7.582,6.262,7.848,7.959,7.358,6.003,6.384,6.497,36.1,5.82
2024-07-14 15:17:41,7.251,6.984,6.23,7.955,6.186,6.088,7.161,6.4,7.047,6.406,6.444,7.877,6.098,7.495,7.741,7.107,6.762,6.663,6.853,38.1,5.09
2024-07-14 15:17:46,6.449,7.045,7.238,7.649,7.227,6.356,6.8,7.008,7.957,7.177,6.45,7.797,7.576,7.51,6.984,7.715,7.865,7.159,6.359,38.2,7.36
2024-07-14 15:17:51,6.455,6.45,6.488,7.779,6.68,7.744,6.641,6.822,7.782,7.15,7.422,6.645,6.233,6.159,7.535,7.939,6.228,6.807,7.701,35.7,5.25
2024-07-14 15:17:56,6.9,7.607,6.407,7.736,6.603,7.917,7.994,7.57,7.766,7.613,6.658,7.81,7.338,6.741,6.548,6.763,7.336,7.841,6.948,37.5,5.76
2024-07-14 15:18:01,6.594,6.657,6.588,7.371,7.726,6.434,7.627,7.186,7.952,7.114,6.73,6.617,6.611,6.24,7.443,7.183,7.399,7.189,7.401,36.6,6.09
2024-07-14 15:18:06,7.538,7.698,6.21,7.542,7.738,7.817,7.584,6.442,6.253,7.942,6.114,7.761,6.793,6.967,6.537,7.252,6.991,7.224,7.326,35.6,5.5
2024-07-14 15:18:12,6.619,7.19,6.175,6.64,6.985,6.036,7.729,6.336,6.784,6.306,6.491,6.815,6.439,6.39,7.221,7.254,7.187,7.783,6.902,38.0,7.39
2024-07-14 15:18:17,7.287,6.986,7.102,7.183,7.776,7.745,7.158,6.45,7.823,7.319,6.689,7.016,7.254,7.594,7.126,7.279,6.904,7.599,6.249,37.4,5.99
2024-07-14 15:18:22,6.025,7.157,7.034,7.396,7.827,6.393,7.032,7.99,7.649,7.793,6.218,6.323,7.622,6.724,7.118,6.289,6.833,7.141,6.24,36.4,8.21
2024-07-14 15:18:27,6.907,7.223,6.226,7.344,7.136,7.183,7.252,6.87,7.179,7.868,7.376,7.118,7.439,6.718,7.47,6.802,7.284,7.872,6.138,36.3,5.33
2024-07-14 15:18:32,6.528,7.864,7.947,6.481,6.817,7.426,6.124,6.766,7.852,6.582,7.901,6.857,7.656,6.116,6.73,7.505,7.522,6.773,6.602,38.2,7.2
2024-07-14 15:18:37,7.501,7.619,7.521,7.949,6.205,6.873,7.257,7.217,7.666,6.612,7.677,7.644,7.607,7.327,7.357,6.089,7.259,6.344,6.951,39.6,6.12
2024-07-14 15:18:42,6.033,6.467,7.814,6.858,6.432,7.634,7.184,7.378,7.417,7.13,6.4,6.196,7.07,7.05,7.095,6.579,7.019,7.029,7.897,36.0,7.64
2024-07-14 15:18:47,6.887,7.802,6.805,6.525,6.653,7.023,7.187,7.012,6.585,7.45,7.359,6.093,7.863,7.445,6.286,7.408,6.654,7.714,7.24,35.9,7.74
2024-07-14 15:18:52,6.852,7.572,7.087,6.241,7.265,6.274,6.299,7.655,7.032,7.11,7.437,7.482,6.443,6.439,6.935,7.179,6.678,7.545,6.714,38.1,7.54
2024-07-14 15:18:57,7.777,6.98,6.892,7.615,6.638,6.33,6.491,7.534,7.784,7.255,7.116,7.135,7.212,6.644,7.081,6.618,6.083,6.551,6.54,36.0,9.8
2024-07-14 15:19:02,6.303,6.175,6.579,7.417,7.664,7.818,7.419,7.076,6.638,6.768,6.307,7.222,6.279,6.298,6.892,6.314,6.413,6.217,6.69,37.5,6.51
2024-07-14 15:19:07,7.263,6.961,6.737,6.26,7.123,7.132,7.106,6.779,7.922,6.409,7.262,7.494,7.013,7.158,6.72,6.512,7.223,7.269,6.897,37.4,7.6
2024-07-14 15:19:12,7.451,6.354,6.518,7.157,6.803,6.566,6.637,6.451,6.58,6.206,7.938,7.844,7.971,6.688,6.606,6.695,6.125,6.495,6.433,40.0,5.22
2024-07-14 15:19:17,7.94,7.327,6.472,7.139,6.568,6.26,6.637,6.38,7.186,7.14,6.672,7.802,6.835,7.015,6.256,6.372,7.608,6.835,6.324,37.8,9.97
2024-07-14 15:19:22,6.928,6.655,7.243,6.849,7.971,6.969,7.826,6.742,7.399,6.566,6.128,7.313,6.416,7.245,6.42,7.942,7.329,7.516,7.016,37.4,5.17
2024-07-14 15:19:27,6.29,6.072,7.696,6.982,6.906,7.322,6.182,6.182,7.99,6.352,7.654,7.873,7.057,6.392,6.873,7.403,6.184,7.227,6.647,38.3,6.55
2024-07-14 15:19:32,7.117,7.605,7.119,6.063,7.997,6.768,7.462,6.577,6.901,6.556,7.551,7.233,7.259,7.815,6.735,6.048,6.142,6.263,7.284,38.0,8.83
2024-07-14 15:19:37,6.715,6.234,7.656,6.859,6.137,7.071,6.598,6.694,7.371,7.882,7.496,6.363,6.074,6.818,7.351,6.804,6.911,7.74,6.133,37.1,7.15
2024-07-14 15:19:42,6.115,7.231,6.359,6.394,7.814,7.316,7.531,7.3,6.685,6.925,7.672,6.348,7.891,7.097,7.363,7.643,6.8,7.89,7.879,38.1,5.87
2024-07-14 15:19:47,6.822,7.075,6.004,6.277,6.686,6.826,7.986,7.188,6.768,6.021,7.046,7.245,7.41,7.476,6.823,6.061,7.112,6.499,7.921,36.9,5.32
2024-07-14 15:19:52,7.197,6.652,7.124,6.467,6.436,6.729,7.654,6.051,6.178,7.543,6.29,6.982,7.309,7.623,7.164,7.061,7.543,6.609,6.402,35.6,8.6
2024-07-14 15:19:57,6.16,7.371,6.763,6.575,7.925,6.886,6.793,7.473,7.568,6.754,6.102,6.896,6.937,6.978,6.366,7.54,7.73,6.779,6.593,37.0,9.63
2024-07-14 15:20:02,6.474,6.584,6.376,6.738,6.75,6.165,6.845,7.663,7.16,6.692,6.8,7.509,7.025,6.157,7.131,6.856,7.485,7.436,6.164,35.5,9.12
2024-07-14 15:20:07,7.776,7.814,7.836,6.559,7.911,7.214,7.455,7.294,7.249,7.878,6.093,7.492,6.099,7.264,7.322,7.348,7.476,7.565,6.614,37.1,7.75
2024-07-14 15:20:12,6.142,6.14,7.757,7.87,6.4,6.699,7.611,7.559,7.603,6.395,7.934,6.484,6.014,6.478,7.485,7.994,7.934,7.123,6.552,36.8,7.4
2024-07-14 15:20:17,6.046,7.606,7.755,6.301,7.147,6.442,7.667,7.893,7.723,7.493,6.246,7.806,7.481,6.639,6.36,6.7,6.321,6.956,6.9,37.4,5.36
2024-07-14 15:20:22,6.994,6.276,7.419,7.199,6.689,7.36,7.587,6.864,7.606,7.139,6.612,6.525,6.847,7.078,7.661,7.166,6.615,6.568,6.133,38.1,9.83
2024-07-14 15:20:27,6.679,7.165,6.91,6.452,7.535,6.12,6.575,6.831,7.32,7.216,6.307,6.912,6.383,6.956,6.262,7.222,7.699,6.256,6.716,38.7,8.66
2024-07-14 15:20:32,6.068,6.531,7.38,6.101,6.947,7.776,6.099,7.319,6.069,6.826,6.996,7.481,6.212,6.065,6.151,7.105,7.263,6.58,6.908,35.7,7.1
2024-07-14 15:20:37,7.711,6.437,6.283,7.603,6.879,7.651,6.091,7.267,7.519,6.818,6.848,7.439,6.262,6.04,7.105,7.437,7.233,6.5,7.7,36.4,5.76
2024-07-14 15:20:42,6.791,7.22,6.982,6.704,7.317,7.425,6.792,7.219,6.092,6.941,6.996,7.88,7.001,6.851,7.97,7.56,6.512,7.301,7.375,38.3,6.41
2024-07-14 15:20:47,7.302,7.712,6.372,6.631,6.262,6.852,6.639,7.868,6.313,6.27,7.57,7.498,7.628,6.833,7.661,7.125,7.314,7.868,7.047,39.0,8.88
2024-07-14 15:20:52,7.181,6.849,6.568,7.354,7.332,6.84,6.2,6.441,7.966,6.617,7.555,7.499,6.426,7.517,7.357,7.995,6.205,6.426,7.581,38.2,7.67
2024-07-14 15:20:57,6.924,7.294,7.52,6.477,7.266,7.148,6.579,6.35,7.629,6.227,7.091,7.467,7.869,6.193,7.778,7.295,6.808,7.893,6.044,36.4,7.78
2024-07-14 15:21:02,6.681,7.361,6.969,6.167,7.376,6.496,7.569,7.565,7.373,7.018,6.259,6.862,6.09,7.935,6.627,6.328,6.94,7.688,7.408,36.2,9.37
2024-07-14 15:21:07,7.298,7.49,7.101,7.683,6.057,6.847,7.57,7.317,6.286,7.581,6.11,6.791,6.408,7.308,7.745,7.15,7.296,7.952,6.052,38.4,7.18
2024-07-14 15:21:12,6.206,6.38,6.169,6.398,6.101,7.934,7.307,6.136,6.562,7.259,7.316,6.525,6.63,7.792,6.837,7.908,7.584,7.969,6.383,35.4,9.43
2024-07-14 15:21:17,7.702,7.498,7.205,7.957,7.68,7.305,7.604,7.141,6.985,7.238,6.842,6.963,7.997,6.642,7.961,6.235,6.537,7.766,7.842,39.8,5.81
2024-07-14 15:21:22,6.255,6.29,7.346,7.035,7.31,7.575,6.668,6.736,6.943,7.584,6.01,6.859,6.768,7.742,7.639,6.934,7.939,7.475,7.461,35.5,8.03
2024-07-14 15:21:27,6.795,7.753,6.981,6.297,7.455,6.488,7.878,6.584,7.914,7.203,7.016,7.289,7.969,7.756,7.714,6.806,7.445,7.428,7.686,38.5,6.39
2024-07-14 15:21:32,7.119,6.952,6.435,6.733,7.91,6.186,6.918,6.147,7.366,7.375,6.334,7.989,6.796,6.355,6.098,7.998,6.722,6.023,6.899,39.3,6.73
2024-07-14 15:21:37,6.536,6.862,6.931,7.179,7.45,6.201,6.523,6.824,6.333,7.039,7.953,7.847,7.281,7.066,7.126,7.486,7.956,7.535,7.21,35.9,9.91
2024-07-14 15:21:42,7.28,6.815,7.93,6.712,7.987,6.042,7.299,7.685,7.186,7.659,6.526,7.689,7.756,6.204,7.656,7.505,7.789,6.714,6.208,35.7,6.53
2024-07-14 15:21:47,6.108,6.214,6.399,6.313,7.175,6.143,6.794,7.299,7.399,6.365,6.979,7.842,7.55,6.585,7.401,6.998,7.458,6.321,7.233,38.8,8.61
2024-07-14 15:21:52,6.498,7.501,6.016,7.892,6.579,6.664,7.946,6.281,6.146,6.772,7.325,7.765,7.549,6.761,6.701,6.734,6.711,7.583,6.895,38.5,7.4
2024-07-14 15:21:57,7.867,6.264,7.707,7.236,7.321,7.014,7.088,6.589,6.573,7.634,7.279,6.513,6.922,6.741,7.64,7.161,6.331,6.67,6.77,37.9,8.92
2024-07-14 15:22:03,7.371,6.594,6.88,7.357,7.936,7.642,6.029,6.362,7.915,6.856,6.723,7.81,7.039,6.322,7.031,6.039,6.598,6.9,7.519,35.1,5.97
2024-07-14 15:22:08,7.65,7.101,7.997,7.466,7.987,7.696,6.119,6.08,6.851,6.185,6.339,6.778,7.702,6.49,6.719,6.509,6.799,7.558,7.094,38.7,6.04
2024-07-14 15:22:13,6.146,6.384,7.143,7.708,6.259,7.263,6.929,6.652,6.839,6.047,7.387,6.782,7.301,7.013,6.447,6.244,6.159,7.072,7.98,37.3,8.37
2024-07-14 15:22:18,6.264,7.052,7.023,6.31,7.79,6.214,6.016,6.88,7.529,6.379,6.765,6.944,7.234,7.032,6.261,6.731,6.11,7.748,7.585,35.3,7.7
2024-07-14 15:22:23,6.997,7.955,6.057,7.392,7.587,7.621,7.048,6.533,6.001,6.991,7.866,6.968,6.165,7.659,6.554,7.83,7.423,7.181,6.3,38.3,8.91
2024-07-14 15:22:28,7.702,7.622,6.197,7.445,6.226,6.891,7.848,6.302,6.548,7.663,7.632,6.162,7.039,6.514,6.147,7.644,7.123,7.314,6.572,38.0,5.62
2024-07-14 15:22:33,7.446,7.606,6.816,7.958,7.372,7.833,7.761,6.483,7.053,7.789,6.136,7.167,7.394,7.614,7.275,7.18,6.99,6.2,7.72,37.0,7.16
2024-07-14 15:22:38,6.698,7.375,6.277,7.544,6.315,7.557,6.426,6.227,7.694,7.677,6.364,6.203,7.757,6.475,6.664,6.97,7.485,6.399,6.28,35.3,5.9
2024-07-14 15:22:43,6.798,7.162,7.287,6.411,7.917,7.976,6.772,6.422,6.259,7.591,6.257,7.228,7.567,6.196,7.456,6.237,6.977,6.756,7.503,39.0,8.34
2024-07-14 15:22:48,6.387,6.956,7.775,6.061,6.532,7.022,6.617,6.088,6.64,6.606,7.434,7.359,7.464,6.936,6.261,6.927,6.072,7.449,6.298,36.5,9.23
2024-07-14 15:22:53,7.072,7.996,7.365,6.037,7.543,7.517,6.751,7.325,6.79,7.071,7.853,6.685,7.209,6.367,7.49,7.41,7.608,6.318,7.924,35.2,5.92
2024-07-14 15:22:58,6.877,7.371,6.549,6.349,6.985,6.806,7.665,6.596,6.972,7.532,6.796,7.339,6.197,7.628,6.236,6.693,7.375,7.028,7.349,38.1,8.0
2024-07-14 15:23:03,7.596,6.841,6.047,6.955,7.506,7.786,7.757,7.969,6.065,7.622,6.828,6.101,7.823,6.476,7.956,6.732,6.999,7.134,7.277,38.6,8.19
2024-07-14 15:23:08,7.025,6.547,6.16,6.253,6.628,6.61,6.478,7.971,7.921,6.123,6.685,6.267,7.999,6.535,7.06,7.649,7.101,6.189,6.62,38.5,9.16
2024-07-14 15:23:13,7.875,7.975,7.556,7.304,6.869,6.291,6.13,6.219,6.553,7.742,6.171,7.112,7.812,6.235,7.573,7.664,7.326,6.51,7.851,39.6,8.02
2024-07-14 15:23:18,6.505,7.351,6.834,7.263,6.118,6.307,6.926,7.276,7.663,6.372,7.147,6.902,7.967,7.727,6.699,7.014,7.146,6.508,6.191,39.9,8.2
2024-07-14 15:23:23,7.904,6.144,6.537,6.805,6.289,7.99,6.532,7.964,6.669,6.533,6.351,6.762,7.737,7.132,6.089,7.792,7.242,6.422,7.95,36.4,5.73
2024-07-14 15:23:28,6.576,7.563,6.562,6.455,7.044,7.716,6.873,7.371,6.046,7.48,6.522,6.422,6.415,6.497,7.135,6.812,6.573,7.427,7.911,35.9,5.89
2024-07-14 15:23:33,7.04,7.606,7.13,6.204,7.303,6.7,7.596,7.725,6.178,6.933,6.276,7.599,7.802,7.993,6.9,7.92,6.326,6.787,6.036,38.1,9.62
2024-07-14 15:23:38,7.44,7.246,6.215,6.156,7.438,7.952,7.757,7.136,7.295,7.688,6.013,6.64,6.839,6.362,7.103,7.201,6.589,7.364,7.304,39.0,9.51
2024-07-14 15:23:43,7.354,6.711,7.125,6.689,6.927,6.112,6.702,7.488,6.792,7.445,7.108,6.764,7.345,7.92,7.374,6.622,7.138,7.12,6.571,37.6,9.53
2024-07-14 15:23:48,7.907,6.125,7.148,7.352,6.436,6.451,6.402,7.021,7.682,7.759,7.366,6.457,7.618,6.476,7.759,6.738,7.155,6.82,6.813,35.2,7.96
2024-07-14 15:23:53,6.181,7.145,6.877,6.077,6.035,6.046,7.795,6.415,7.923,6.565,6.382,7.073,7.898,6.853,7.252,6.304,6.43,6.949,6.729,36.9,7.36
2024-07-14 15:23:58,7.672,7.286,7.056,7.48,6.529,6.429,7.327,7.367,6.521,7.924,7.231,6.495,6.177,6.846,7.404,7.729,6.816,6.394,7.504,36.5,9.07
2024-07-14 15:24:03,7.426,7.012,7.794,6.545,7.663,7.676,7.864,7.488,7.78,7.802,7.779,7.607,7.751,7.616,6.452,6.087,7.38,6.431,7.005,35.1,8.66
2024-07-14 15:24:08,6.253,7.371,7.351,6.56,6.374,6.378,6.994,7.113,7.852,7.972,7.11,7.995,6.492,6.025,6.976,6.838,7.027,6.405,7.993,35.5,9.11
2024-07-14 15:24:13,7.012,6.705,7.847,6.678,7.142,7.269,6.061,6.145,7.849,6.744,6.359,6.708,6.873,6.442,6.012,6.354,6.063,7.46,6.092,39.1,9.69
2024-07-14 15:24:18,7.247,6.724,6.573,7.552,7.072,6.742,6.945,7.435,7.52,6.213,6.145,7.114,6.518,6.718,6.84,7.375,6.058,7.761,7.515,36.4,5.35
2024-07-14 15:24:23,6.84,6.557,6.506,7.328,6.268,6.875,6.827,7.98,6.152,6.401,6.936,7.704,7.38,6.775,7.442,6.693,6.668,7.771,6.571,35.8,8.02
2024-07-14 15:24:28,7.777,6.537,6.955,7.058,6.208,6.666,6.472,6.903,6.351,6.242,6.268,7.672,6.768,6.653,7.183,7.648,7.243,7.398,6.933,39.3,7.91
